date,new_cases,new_deaths,cases_7day_avg,deaths_7day_avg
2020-02-01,56.36,40.69,,
2020-02-02,181.55,22.36,,
2020-02-03,264.97,36.42,,
2020-02-04,484.12,14.08,,
2020-02-05,183.53,24.389999999999997,,
2020-02-06,402.38,25.59,,
2020-02-07,228.92999999999998,20.95,257.4057142857143,26.354285714285712
2020-02-08,375.17,32.35,302.95,25.162857142857142
2020-02-09,657.11,40.12,370.88714285714286,27.699999999999996
2020-02-10,772.47,50.83,443.38714285714286,29.75857142857143
2020-02-11,1043.42,55.36,523.2871428571428,35.65571428571428
2020-02-12,1032.48,42.47,644.5657142857143,38.23857142857143
2020-02-13,1421.48,52.839999999999996,790.1514285714286,42.131428571428565
2020-02-14,1802.26,32.06,1014.9128571428571,43.71857142857142
2020-02-15,1990.9,51.59,1245.7314285714285,46.46714285714285
2020-02-16,1517.3899999999999,54.79,1368.6285714285714,48.56285714285714
2020-02-17,2625.77,55.82,1633.3857142857144,49.27571428571429
2020-02-18,2068.41,39.86,1779.8128571428572,47.061428571428564
2020-02-19,2435.71,28.240000000000002,1980.2742857142855,45.028571428571425
2020-02-20,3719.24,64.55,2308.5257142857145,46.70142857142857
2020-02-21,2303.4700000000003,89.61000000000001,2380.1271428571426,54.92285714285715
2020-02-22,4371.98,70.77000000000001,2720.281428571429,57.66285714285714
2020-02-23,3365.8,83.39,2984.34,61.74857142857143
2020-02-24,4877.45,77.61,3306.008571428571,64.86142857142856
2020-02-25,4396.64,65.27,3638.612857142857,68.49142857142857
2020-02-26,4190.12,43.269999999999996,3889.2428571428572,70.63857142857144
2020-02-27,4227.04,79.24000000000001,3961.785714285714,72.73714285714286
2020-02-28,3794.7300000000005,53.29,4174.822857142857,67.54857142857144
2020-02-29,3527.98,63.57,4054.2514285714283,66.52000000000001
2020-03-01,3597.3199999999997,89.98,4087.325714285714,67.46142857142857
2020-03-02,5106.44,65.48,4120.038571428572,65.72857142857143
2020-03-03,4557.599999999999,51.0,4143.032857142857,63.69
2020-03-04,5188.75,100.72,4285.694285714286,71.89714285714287
2020-03-05,6348.16,127.96,4588.711428571429,78.85714285714286
2020-03-06,5657.280000000001,85.45,4854.79,83.45142857142856
2020-03-07,6164.01,133.1,5231.365714285714,93.38428571428572
2020-03-08,5498.76,119.27,5503.0,97.56857142857143
2020-03-09,5131.04,67.24000000000001,5506.5142857142855,97.82000000000001
2020-03-10,5643.48,89.74000000000001,5661.639999999999,103.35428571428572
2020-03-11,9255.74,120.32,6242.638571428572,106.15428571428572
2020-03-12,9128.32,101.07000000000001,6639.804285714286,102.31285714285715
2020-03-13,7477.969999999999,92.5,6899.902857142856,103.32000000000001
2020-03-14,9148.78,111.65,7326.298571428572,100.25571428571428
2020-03-15,7587.99,111.38,7624.76,99.12857142857145
2020-03-16,9397.23,111.31,8234.215714285714,105.42428571428572
2020-03-17,8623.43,105.15,8659.922857142858,107.62571428571428
2020-03-18,10790.75,151.26000000000002,8879.210000000001,112.04571428571428
2020-03-19,9630.85,135.9,8951.0,117.02142857142859
2020-03-20,11121.039999999999,122.63,9471.43857142857,121.3257142857143
2020-03-21,12672.56,175.91,9974.835714285713,130.5057142857143
2020-03-22,10975.699999999999,148.88000000000002,10458.794285714286,135.86285714285717
2020-03-23,11081.52,173.0,10699.407142857144,144.6757142857143
2020-03-24,11300.18,163.81,11081.8,153.0557142857143
2020-03-25,11992.31,125.71,11253.451428571427,149.4057142857143
2020-03-26,13078.96,133.72,11746.038571428571,149.0942857142857
